time,quat_w,quat_x,quat_y,quat_z,x,y,z,Aileron,Elevator,Mode,Rudder,Throttle,phi_deg,theta_deg,x_s,y_s,z_s,vx,vy,vz,speed_xy,speed_3d,chi_deg,s,n,u_along_track,alpha_deg,gamma_deg,seg_id
15.02914831,0.144884959,-0.07242901,0.023372401,0.986517165,7.675458984,2.446322998,3.53152002,0.0,0.21,-1.0,0.0,0.428,1.4562191784467384,8.608240121331752,7.675899655226127,2.4464260214662077,3.530858133818192,-4.141775083845117,1.5833676161680355,-0.3058100885635679,4.434112521473702,4.444645504802057,159.07854299706793,0.0,0.8852396144849594,4.49391563521415,8.675958213590398,-0.0677180922586458,1
15.03881998,0.143800184,-0.072084446,0.022519502,0.986720938,7.633255371,2.462445313,3.528272461,0.0,0.21,-1.0,0.0,0.428,1.373860119110347,8.553398053393535,7.63364377311657,2.4624947451515227,3.52791034976691,-4.197460322406112,1.5942529035088746,-0.302244834425228,4.49002399531674,4.50018526490375,159.20253728408952,0.04346366903162924,0.87280285734972,4.394989028828775,8.620184743469022,-0.06678669007548611,1
15.04896971,0.145601031,-0.070482976,0.02811408,0.986428956,7.591844238,2.478597412,3.524564697,0.0,0.21,-1.0,0.0,0.428,2.024412587246896,8.467001215991509,7.591293554890463,2.4785229921142267,3.525041958664345,-4.247207331792943,1.6016919104424254,-0.29975543743274924,4.53918352737719,4.549070280560956,159.3377136077529,0.0870179121954493,0.8604144116472515,4.097371333915144,8.531691765469553,-0.06469054947804323,1
15.06022339,0.144435151,-0.069685665,0.026571507,0.986699727,7.548893066,2.494529785,3.522011719,0.0,0.21,-1.0,0.0,0.428,1.8711591232204536,8.34847711180642,7.548797411039646,2.494464532606069,3.5222691943986115,-4.285062626065116,1.60420491675776,-0.2941892368726143,4.575503810975338,4.584951737078759,159.47553682458167,0.13071022357989293,0.8481247053315072,4.147251888954083,8.41370728041285,-0.06523016860643088,1
15.07021327,0.143907474,-0.069540698,0.024712603,0.986835357,7.506125977,2.510357178,3.519474121,0.0,0.21,-1.0,0.0,0.408,1.6654871779587344,8.30039917814856,7.506209518184169,2.510343632920754,3.5193453634708725,-4.33704584314713,1.6130737733765297,-0.2884677783768141,4.62730738593353,4.636290252246579,159.59836498547637,0.17448867339423302,0.8359049763440533,4.737374317855622,8.365418406412767,-0.06501922826420711,1
15.0788952,0.142690641,-0.067823395,0.024235839,0.987143348,7.463547852,2.526117188,3.516697754,0.0,0.21,-1.0,0.0,0.408,1.6491858247468278,8.095257304775563,7.463588778449902,2.5261948511328756,3.5165483440023406,-4.330729427869665,1.6023075722038755,-0.28119231758973395,4.617640840662924,4.626194554148116,159.69625146311205,0.2182974938480342,0.823715808006922,4.732502095303877,8.160799980835332,-0.06554267605976873,1
15.08892467,0.141023749,-0.062890038,0.022898932,0.987741255,7.42090625,2.542016846,3.513865967,0.0,0.21,-1.0,0.0,0.408,1.589380970969896,7.509857038843237,7.420934176503516,2.541927293456884,3.5135666347086345,-4.332414194460196,1.5938299122178121,-0.26368719752722947,4.616287094780873,4.623812007378781,159.8021914841264,0.26213000803729614,0.8116478542229881,4.391892556470603,7.572117822831952,-0.06226078398871463,1
15.09893326,0.141532954,-0.065953603,0.024123219,0.987439427,7.377433105,2.557575195,3.511797852,0.0,0.21,-1.0,0.0,0.408,1.675986358969193,7.878846127732821,7.377936257060625,2.5576241919463953,3.5110610120932497,-4.417737276275395,1.61455198141907,-0.2344011625987846,4.703528541733046,4.709365631157243,159.9241406749431,0.30630160264239414,0.7996443577053001,4.400330867975246,7.930381548864648,-0.05153542113182665,1
15.1090063,0.142454539,-0.064921204,0.02808458,0.987270577,7.334819336,2.573272461,3.508721436,0.0,0.21,-1.0,0.0,0.408,2.137921216234954,7.827503471883467,7.334918446706312,2.573334349764577,3.5090116517552543,-4.3963460681761894,1.5956698348062586,-0.1890462984794464,4.6769670698946415,4.68078620274924,160.05144949682332,0.3504941384597551,0.7876293319299162,4.492323985507468,7.870648128528179,-0.043144656644712315,1
15.11866849,0.143355162,-0.063154331,0.030994967,0.987167734,7.292370605,2.589095459,3.506247803,0.0,0.21,-1.0,0.0,0.408,2.491838159457014,7.6761931990007914,7.2917082306526995,2.5889930603683067,3.507225904128215,-4.336358343393223,1.5607799013172843,-0.13534963403522648,4.608691526091978,4.610678594969017,160.20473928306632,0.39487403852407255,0.7756818443508335,4.262704125160141,7.709996724609037,-0.033803525608245476,1
